X,Y,PHI,IR1,LDR1,IR2,LDR2,IR3,LDR3,IR4,LDR4,IR5,LDR5,IR6,LDR6,IR7,LDR7,IR8,LDR8
18.7,18.5,0,77.5,229.8,437.8,139.8,515.7,0,411.4,0,538.3,12.5,202.4,68.6,1.9,213.2,7.928571429,252.9
18.7,18.5,22.5,244.5,197.9,536.3,0,368,0,525.1,0.1,371.5,41.3,1.4,178.2,1.3,233.9,13.72857143,242.2
18.7,18.5,45,420.6,60.9,507.6,0,426.9,0,502.8,4.8,199.1,54.4,1.7,220.7,1.3,250.6,1.814285714,239
18.7,18.5,67.5,531.7,1.8,356.9,0,544.6,2.6,363,34.7,1,138.1,1.9,242,1.8,248.6,3.571428571,207
18.7,18.5,90,514.4,2,426.9,0,526.3,15.2,194.8,59.9,1.3,203.9,1.9,246.7,105.7,224.2,1.671428571,96.8
18.7,18.5,112.5,382,0.2,542.7,0,382.8,41.7,1.6,156.7,1.9,222.4,2,242.1,238.7,206.3,195.8428571,0
18.7,18.5,135,409.8,0.4,517.9,9.7,211.7,62.7,2.1,220.7,1.7,246.4,100.1,228,415.3,96.2,372.2857143,0
18.7,18.5,157.5,538.9,1.9,364.4,18,1.8,157.5,1.7,235.4,1.6,247.8,245.1,213,530,0.1,518.4714286,0
18.7,18.5,180,521.3,12,163.6,41.7,2.1,209.6,2.1,245.8,111,234.8,410.6,115,509,2.7,540.4,0
18.7,18.5,202.5,389.7,33.6,2.4,141.9,1.6,229.8,1.5,254.3,278.4,199.9,510.4,4,354.9,3.8,424.6571429,0
18.7,18.5,225,204.2,56.1,14.6,214,1.4,240.9,57.9,238.7,462,95.5,487.2,5.4,419.1,1.3,358.8142857,0
18.7,18.5,247.5,1.6,145.4,2.4,238.2,1.7,241.5,231.1,211.9,552.8,0.9,338.2,6.5,540.9,2.8,507.7142857,10.5
18.7,18.5,270,1.3,202.6,86.1,249.1,83.6,230.4,393.3,138.6,524.6,0,410.2,0.2,519.3,12.5,526.7857143,35.8
